Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf47U	2	18	18	0.082	0.82	10	0.0103	0.1374	0.0082	1.655948553	20.4340836	0.602498163
Hf47U	2	18	32	0.082	0.82	20	0.0895	0.4508	0.0246	7.194533762	29.04340836	0.903747245
Hf47U	2	18	32	0.082	0.82	10	0.0396	0.2121	0.0133	6.366559486	27.73311897	0.97722263
Hf50U	2	18	18	0.033	0.33	20	0.0141	0.0938	0.0069	1.133440514	6.406752412	0.253490081
Hf50U	2	18	18	0.033	0.33	10	0.0065	0.0475	0.0035	1.045016077	6.591639871	0.25716385
Hf50U	2	18	32	0.033	0.33	20	0.0736	0.1842	0.0117	5.916398714	8.890675241	0.429831007
Hf50U	2	18	32	0.033	0.33	10	0.0308	0.0852	0.0063	4.951768489	8.745980707	0.46289493
Hf51U	2	24	18	0.088	0.88	20	0.0203	0.2091	0.004	1.631832797	15.17684887	0.146950771
Hf51U	2	24	18	0.088	0.88	10	0.0093	0.1048	0.0026	1.495176849	15.35369775	0.191036003
Hf51U	2	24	32	0.088	0.88	20	0.094	0.348	0.0118	7.556270096	20.41800643	0.216752388
Hf51U	2	24	32	0.088	0.88	10	0.0382	0.1669	0.0033	6.1414791	20.69131833	0.242468773
Hf51U	2	24	18	0.088	0.88	20	0.0203	0.1688	0	1.631832797	11.93729904	0
Hf51U	2	24	18	0.088	0.88	10	0.0093	0.0888	0	1.495176849	12.78135048	0
Hf52U	2	24	18	0.123	1.23	20	0.0218	0.1615	0.0056	1.752411576	11.22990354	0.20573108
Hf52U	2	24	18	0.123	1.23	10	0.0102	0.0801	0.003	1.639871383	11.23794212	0.220426157
Hf52U	2	24	32	0.123	1.23	20	0.1134	0.358	0.0099	9.115755627	19.66237942	0.363703159
Hf52U	2	24	32	0.123	1.23	10	0.0524	0.15	0.0048	8.424437299	15.69131833	0.352681852
Hf53U	2	24	18	0.089	0.89	20	0.0264	0.2601	0.012	2.122186495	18.78617363	0.440852314
Hf53U	2	24	18	0.089	0.89	10	0.0117	0.1329	0.007	1.881028939	19.48553055	0.5143277
Hf53U	2	24	32	0.089	0.89	20	0.1168	0.458	0.04	9.389067524	27.42765273	0.734753857
Hf53U	2	24	32	0.089	0.89	10	0.0482	0.219	0.0099	7.749196141	27.45980707	0.727406319
Hf53U	2	24	18	0.089	0.89	20	0.0264	0.2311	0	2.122186495	16.45498392	0
Hf53U	2	24	18	0.089	0.89	10	0.0117	0.1124	0	1.881028939	16.18971061	0
Hf55U	2	24	18	0.112	1.12	20	0.0228	0.1892	0.014	1.832797428	13.37620579	0.5143277
Hf55U	2	24	18	0.112	1.12	10	0.0102	0.0902	0.0069	1.639871383	12.86173633	0.506980162
Hf55U	2	24	32	0.112	1.12	20	0.108	0.328	0.0255	8.681672026	17.68488746	0.936811168
Hf55U	2	24	32	0.112	1.12	10	0.0523	0.171	0.0119	8.408360129	19.08360129	0.87435709
Hf58U	2	24	18	0.1	1	20	0.0278	0.2182	0.0128	2.234726688	15.30546624	0.470242469
Hf58U	2	24	18	0.1	1	10	0.011	0.1097	0.0075	1.768488746	15.8681672	0.551065393
Hf58U	2	24	32	0.1	1	20	0.1246	0.4276	0.0213	10.01607717	24.35691318	0.782512858
Hf58U	2	24	32	0.1	1	10	0.0609	0.1996	0.0097	9.790996785	22.29903537	0.712711242
Hf60U	2	24	18	0.072	0.72	20	0.0234	0.2675	0.01	1.881028939	19.6221865	0.367376929
Hf60U	2	24	18	0.072	0.72	10	0.0103	0.1314	0.0065	1.655948553	19.46945338	0.477590007
Hf60U	2	24	32	0.072	0.72	20	0.1109	0.4023	0.0161	8.914790997	23.4244373	0.591476855
Hf60U	2	24	32	0.072	0.72	10	0.0507	0.2169	0.0078	8.151125402	26.72025723	0.573108009
Hf61U	2	30	18	0.105	1.05	20	0.0186	0.2103	0.0086	1.495176849	15.40996785	0.315944159
Hf61U	2	30	18	0.105	1.05	10	0.0092	0.1046	0.0043	1.479099678	15.33762058	0.315944159
Hf61U	2	30	32	0.105	1.05	20	0.0866	0.3925	0.0142	6.961414791	24.59003215	0.521675239
Hf61U	2	30	32	0.105	1.05	10	0.0396	0.1835	0.0069	6.366559486	23.13504823	0.506980162
Hf62U	2	30	18	0.108	1.08	20	0.0255	0.2534	0.0099	2.049839228	18.31993569	0.363703159
Hf62U	2	30	18	0.108	1.08	10	0.0108	0.126	0.0054	1.736334405	18.52090032	0.396767083
Hf62U	2	30	32	0.108	1.08	20	0.1025	0.4256	0.0159	8.239549839	25.97266881	0.584129317
Hf62U	2	30	32	0.108	1.08	10	0.0522	0.2063	0.0072	8.392282958	24.77491961	0.529022777
Hf63U	2	30	18	0.124	1.24	20	0.0263	0.2898	0.0145	2.11414791	21.18167203	0.532696547
Hf63U	2	30	18	0.124	1.24	10	0.0115	0.152	0.0075	1.848874598	22.58842444	0.551065393
Hf63U	2	30	32	0.124	1.24	20	0.1165	0.5169	0.0242	9.364951768	32.18649518	0.889052168
Hf63U	2	30	32	0.124	1.24	10	0.0517	0.2398	0.012	8.311897106	30.24115756	0.881704629
Hf64U	2	30	18	0.085	0.85	20	0.0236	0.2587	0.0098	1.897106109	18.89871383	0.36002939
Hf64U	2	30	18	0.085	0.85	10	0.0104	0.1354	0.0051	1.672025723	20.09646302	0.374724467
Hf64U	2	30	32	0.085	0.85	20	0.1094	0.5082	0.0172	8.794212219	32.05787781	0.631888317
Hf64U	2	30	32	0.085	0.85	10	0.0485	0.2233	0.0082	7.797427653	28.10289389	0.602498163
Hf65U	2	30	18	0.125	1.25	20	0.0251	0.1919	0.01	2.017684887	13.40836013	0.367376929
Hf65U	2	30	18	0.125	1.25	10	0.011	0.0995	0.0057	1.768488746	14.22829582	0.418809699
Hf65U	2	30	32	0.125	1.25	20	0.12	0.3603	0.0166	9.646302251	19.31672026	0.609845702
Hf65U	2	30	32	0.125	1.25	10	0.057	0.1732	0.0077	9.163987138	18.68167203	0.56576047
Hf66U	2	30	18	0.093	0.93	20	0.0203	0.2587	0.006	1.631832797	19.16398714	0.220426157
Hf66U	2	30	18	0.093	0.93	10	0.0099	0.1306	0.0033	1.591639871	19.40514469	0.242468773
Hf66U	2	30	32	0.093	0.93	20	0.0893	0.4595	0.0125	7.178456592	29.75884244	0.459221161
Hf66U	2	30	32	0.093	0.93	10	0.041	0.203	0.0064	6.591639871	26.04501608	0.470242469
Hf71U	2	32	18	0.037	0.37	20	0.0667	0.5599	0.0246	5.361736334	39.64630225	0.903747245
Hf71U	2	32	18	0.037	0.37	10	0.028	0.3541	0.0118	4.501607717	52.42765273	0.867009552
Hf71U	2	32	32	0.037	0.37	20	0.2472	0.714	0.0807	19.87138264	37.52411576	1.482365907
Hf71U	2	32	32	0.037	0.37	10	0.1033	0.5268	0.0184	16.60771704	68.08681672	1.351947098
Hf73U	2	32	18	0.029	0.29	20	0.0846	0.7629	0.0304	6.800643087	54.52572347	1.116825863
Hf73U	2	32	18	0.029	0.29	10	0.0368	0.3573	0.0159	5.916398714	51.52733119	1.168258633
Hf73U	2	32	32	0.029	0.29	20	0.2929	0.7159	0.0592	23.54501608	34.00321543	2.174871418
Hf73U	2	32	32	0.029	0.29	10	0.1407	0.6182	0.0261	22.62057878	76.76848875	1.917707568
Hf73U	2	32	18	0.029	0.29	20	0	0	0	0	0	0
Hf73U	2	32	18	0.029	0.29	10	0.0368	0.3195	0	0	45.45016077	0
Hf75U	2	32	18	0.041	0.41	20	0.0846	0.4329	0.0323	6.800643087	27.99839228	1.18662748
Hf75U	2	32	18	0.041	0.41	10	0.0364	0.2083	0.0156	5.852090032	27.63665595	1.146216018
Hf75U	2	32	32	0.041	0.41	20	0.3139	0.675	0.06	25.23311897	29.02733119	2.204261572
Hf75U	2	32	32	0.041	0.41	10	0.1223	0.4049	0.0277	19.66237942	45.4340836	2.035268185
Hf76U	2	32	18	0.078	0.78	20	0.0236	0.3943	0.0199	1.897106109	29.79903537	0.731080088
Hf76U	2	32	18	0.078	0.78	10	0.0099	0.2203	0.0097	1.591639871	33.82636656	0.712711242
Hf76U	2	32	32	0.078	0.78	20	0.1987	0.5767	0.0364	15.97266881	30.38585209	1.337252021
Hf76U	2	32	32	0.078	0.78	10	0.0846	0.3478	0.0175	13.60128617	42.31511254	1.285819251
Hf76U	2	32	32	0.078	0.78	20	0.1987	0.7262	0	0	42.40353698	0
Hf77U	2	32	18	0.072	0.72	20	0.0414	0.3777	0.0162	3.327974277	27.03376206	0.595150625
Hf77U	2	32	18	0.072	0.72	10	0.0173	0.1909	0.0081	2.781350482	27.90996785	0.595150625
Hf77U	2	32	32	0.072	0.72	20	0.16	0.6625	0.0523	12.86173633	40.39389068	0.960690669
Hf77U	2	32	32	0.072	0.72	10	0.0704	0.3117	0.0128	11.31832797	38.79421222	0.940484938
Hf78U	2	32	18	0.051	0.51	20	0.045	0.2624	0.0157	3.617363344	17.47588424	0.576781778
Hf78U	2	32	18	0.051	0.51	10	0.0218	0.1321	0.0081	3.504823151	17.73311897	0.595150625
Hf78U	2	32	32	0.051	0.51	20	0.1756	0.477	0.0302	14.11575563	24.22829582	1.109478325
Hf78U	2	32	32	0.051	0.51	10	0.0757	0.2396	0.0149	12.17041801	26.35048232	1.094783248
