"numero","genero","dia1","dia2","dia3"
3315,"Mujer",1.29,NA,NA
3316,"Mujer",1.61,0.32,0.26
3321,"Mujer",1.77,NA,NA
3325,"Hombre",0.91,0.17,NA
3326,"Mujer",0.85,0.2,0.38
3327,"Hombre",0.85,0.52,0.44
3328,"Mujer",1.5,NA,NA
3329,"Hombre",1.05,0.23,NA
3338,"Mujer",3.38,NA,NA
3340,"Mujer",1.42,0.52,2
3341,"Mujer",1.85,NA,NA
3348,"Mujer",1.91,0.84,NA
3349,"Hombre",0.82,0.26,NA
3350,"Mujer",1.32,0.76,NA
3351,"Mujer",2.23,0.85,0.39
3352,"Mujer",1.47,1.52,0.17
3363,"Mujer",2.7,NA,NA
3365,"Hombre",1.58,NA,NA
3366,"Hombre",1,NA,NA
3367,"Mujer",1.44,NA,NA
3368,"Mujer",2,NA,NA
3369,"Hombre",1.6,NA,NA
3370,"Mujer",2.32,2.53,1.67
3371,"Mujer",3.41,NA,NA
3372,"Mujer",2.02,NA,NA
3373,"Hombre",0.64,0.52,NA
3374,"Hombre",3.58,3.35,NA
3375,"Hombre",1.5,NA,NA
3376,"Hombre",1.08,NA,NA
3377,"Mujer",1.52,NA,NA
3378,"Hombre",1.26,NA,NA
3379,"Mujer",1.68,NA,NA
3380,"Hombre",1.47,1.08,0.58
3390,"Mujer",1.47,NA,NA
3391,"Mujer",1.67,1.55,NA
3392,"Mujer",2.47,1.97,NA
3393,"Hombre",1.82,NA,NA
3394,"Mujer",2.17,NA,NA
3395,"Mujer",3.21,NA,NA
3397,"Mujer",1.6,1.38,1.02
3398,"Mujer",0.32,NA,NA
3407,"Mujer",0.55,NA,NA
3411,"Mujer",1.42,NA,NA
3412,"Hombre",1.14,NA,NA
3413,"Mujer",2.64,NA,NA
3416,"Mujer",2.58,NA,NA
3418,"Mujer",2.02,NA,NA
3419,"Hombre",2,NA,NA
3420,"Mujer",2.9,NA,NA
3423,"Hombre",1.82,NA,NA
3429,"Mujer",0.5,NA,NA
3431,"Hombre",1.53,NA,NA
3449,"Mujer",2.48,NA,NA
3450,"Mujer",2.05,NA,NA
3453,"Hombre",2.52,NA,NA
3454,"Mujer",1.88,NA,NA
3455,"Hombre",2.73,NA,NA
3456,"Mujer",2.88,NA,NA
3457,"Mujer",1.67,NA,NA
3458,"Mujer",1.93,NA,NA
3460,"Mujer",1.67,NA,NA
3461,"Hombre",1.2,NA,NA
3464,"Mujer",2.75,NA,NA
3467,"Mujer",1.94,0.97,NA
3468,"Mujer",0.59,NA,NA
3469,"Mujer",1.5,NA,NA
3477,"Hombre",1.58,0.94,0.94
3480,"Mujer",2.23,0.11,0.17
3483,"Mujer",2.35,NA,NA
3490,"Mujer",2.55,0.82,0.29
3493,"Hombre",1.55,NA,NA
3494,"Mujer",2.31,NA,NA
3495,"Hombre",2.23,NA,NA
3500,"Mujer",0.67,0.5,NA
3501,"Hombre",2.51,NA,NA
3503,"Hombre",1.08,0.58,0.61
3510,"Mujer",2.44,NA,NA
3511,"Mujer",0.23,0.14,NA
3512,"Mujer",2.17,NA,NA
3518,"Hombre",1.9,1.17,NA
3519,"Mujer",1.67,0.44,NA
3521,"Mujer",2,0.58,0.52
3522,"Mujer",2.44,NA,NA
3523,"Hombre",1.44,NA,NA
3524,"Hombre",0.82,NA,NA
3525,"Mujer",2.5,NA,NA
3526,"Hombre",1.82,NA,NA
3536,"Mujer",1.97,NA,NA
3539,"Mujer",2.52,NA,NA
3540,"Mujer",0.05,NA,NA
3542,"Mujer",2.08,NA,NA
3545,"Mujer",2.39,NA,NA
3546,"Hombre",1.45,0.82,NA
3551,"Hombre",2.58,NA,NA
3557,"Mujer",2.12,NA,NA
3565,"Mujer",2.02,0.76,0.55
3567,"Hombre",1.78,1.14,0.44
3568,"Hombre",0.73,0.17,0.76
3569,"Mujer",2.26,0.9,1.85
3570,"Mujer",2.79,NA,NA
3571,"Hombre",0.43,0.67,0.14
3572,"Hombre",0.52,0.38,0.7
3573,"Mujer",2.32,NA,NA
3574,"Hombre",2.22,NA,NA
3575,"Hombre",0.58,NA,NA
3576,"Hombre",2,NA,NA
3577,"Mujer",0.7,NA,NA
3586,"Hombre",1,NA,NA
3587,"Hombre",0.3,NA,NA
3588,"Hombre",1.52,NA,NA
3593,"Mujer",1.58,0.35,NA
3594,"Hombre",2.34,NA,NA
3595,"Mujer",0.79,NA,NA
3596,"Mujer",2.26,NA,NA
3597,"Hombre",2.35,NA,NA
3598,"Mujer",1.7,NA,NA
3599,"Mujer",3.09,NA,NA
3600,"Mujer",1.52,NA,NA
3601,"Mujer",0.35,NA,NA
3602,"Mujer",2.7,NA,NA
3603,"Mujer",1.64,NA,NA
3605,"Hombre",0.82,NA,NA
3606,"Hombre",2.73,NA,NA
3607,"Mujer",2.23,NA,NA
3609,"Mujer",1.06,NA,NA
3610,"Hombre",2.05,0.2,0.35
3613,"Mujer",1.73,1.44,NA
3614,"Mujer",0.93,0.91,NA
3620,"Mujer",2.5,2.44,NA
3621,"Hombre",1.44,NA,NA
3622,"Mujer",2.88,NA,NA
3625,"Mujer",0.67,0.23,0.44
3626,"Hombre",1.85,0.35,NA
3627,"Mujer",1.21,0.79,NA
3628,"Hombre",1.06,0.76,0.7
3629,"Hombre",0.61,0.26,0.33
3631,"Mujer",2,NA,NA
3634,"Mujer",1.17,0.73,1.17
3635,"Mujer",1.48,0.79,1.55
3645,"Mujer",1.55,NA,NA
3646,"Mujer",3.29,NA,NA
3647,"Hombre",1.47,NA,NA
3648,"Hombre",0.96,NA,NA
3649,"Hombre",1,1.11,1.2
3652,"Hombre",1.47,NA,NA
3653,"Mujer",2.55,2.38,NA
3654,"Mujer",0.44,0.06,NA
3655,"Mujer",2.35,2.41,NA
3656,"Mujer",1.71,0.85,NA
3659,"Hombre",1.84,0.58,0.7
3660,"Mujer",1.11,0.23,0.55
3667,"Mujer",1.38,NA,NA
3669,"Hombre",0.88,NA,NA
3670,"Mujer",0.94,NA,NA
3672,"Mujer",1.91,NA,NA
3676,"Hombre",2.76,NA,NA
3677,"Hombre",1.55,0.32,0.47
3678,"Hombre",2.67,NA,NA
3680,"Mujer",1.03,0.29,0.72
3696,"Mujer",2.5,NA,NA
3697,"Hombre",1.64,NA,NA
3698,"Mujer",2.26,NA,NA
3709,"Mujer",2.14,NA,NA
3710,"Hombre",0.52,NA,NA
3711,"Hombre",1.08,NA,NA
3712,"Hombre",1.69,NA,NA
3713,"Hombre",2.73,NA,NA
3714,"Hombre",1.91,NA,NA
3715,"Hombre",1.73,NA,NA
3716,"Mujer",3.21,NA,NA
3717,"Mujer",2.11,NA,NA
3718,"Mujer",2.05,NA,NA
3719,"Hombre",2.17,NA,NA
3720,"Mujer",2.17,NA,NA
3721,"Mujer",2.3,NA,NA
3722,"Mujer",2.56,NA,NA
3723,"Mujer",2.11,0.41,0.47
3724,"Hombre",1.7,NA,NA
3725,"Mujer",1.23,NA,NA
3726,"Mujer",3.2,NA,NA
3727,"Mujer",2.02,NA,NA
3728,"Mujer",2.64,NA,NA
3729,"Hombre",2.52,0.14,NA
3730,"Hombre",1.61,NA,NA
3731,"Hombre",1.5,1.2,0.91
3734,"Hombre",1.15,0.45,0.44
3736,"Hombre",1.82,NA,NA
3753,"Mujer",1.5,NA,NA
3754,"Mujer",2.32,NA,NA
3759,"Mujer",2.92,NA,NA
3764,"Hombre",1.41,NA,NA
3769,"Hombre",1.35,NA,NA
3778,"Hombre",0.61,0.14,NA
3779,"Mujer",0.73,NA,NA
3782,"Mujer",2.23,1.88,NA
3783,"Mujer",1.32,0.91,NA
3784,"Mujer",2.94,1.79,NA
3785,"Hombre",1.61,NA,NA
3786,"Mujer",1,NA,NA
3787,"Mujer",3.15,3,NA
3788,"Mujer",2.88,NA,NA
3791,"Mujer",2.09,1.21,NA
3792,"Mujer",1.32,1.7,2.29
3793,"Hombre",1.47,0.35,NA
3794,"Hombre",1.61,NA,NA
3796,"Hombre",2.2,1.5,1.88
3797,"Mujer",2.78,NA,NA
3798,"Mujer",2.06,NA,NA
3799,"Mujer",0.47,NA,NA
3804,"Mujer",2.87,NA,NA
3826,"Hombre",1.14,NA,NA
3828,"Mujer",3.32,3.21,NA
3831,"Mujer",2.08,1.38,NA
3836,"Mujer",2.38,2.5,NA
3837,"Mujer",2.08,NA,NA
3838,"Hombre",1.85,NA,NA
3840,"Hombre",1.38,NA,NA
3844,"Hombre",1.14,NA,NA
3846,"Hombre",1.58,NA,NA
3849,"Hombre",1.23,0.7,1.02
3850,"Mujer",2.53,NA,NA
3851,"Hombre",0.67,NA,NA
3854,"Mujer",0.73,NA,NA
3855,"Mujer",1.34,NA,NA
3856,"Mujer",2.14,0.7,NA
3857,"Mujer",1,NA,NA
3858,"Hombre",1.35,NA,NA
3859,"Hombre",1.94,0.79,NA
3860,"Hombre",0.5,NA,NA
3869,"Mujer",3.08,NA,NA
3870,"Mujer",2.88,NA,NA
3871,"Mujer",1.91,NA,NA
3872,"Hombre",1.41,NA,NA
3873,"Hombre",2.02,NA,NA
3874,"Mujer",0.76,NA,NA
3875,"Hombre",1.94,NA,NA
3876,"Hombre",0.67,0.28,NA
3879,"Mujer",2.41,NA,NA
3880,"Mujer",2.17,NA,NA
3882,"Mujer",2.67,0.41,NA
3883,"Hombre",1.94,0.64,NA
3888,"Mujer",2.05,0.85,1.7
3890,"Hombre",2.17,NA,NA
3909,"Hombre",0.47,NA,NA
3912,"Hombre",0.62,0.76,NA
3913,"Mujer",2,NA,NA
3914,"Hombre",0.45,NA,NA
3916,"Mujer",2.29,0.91,1.38
3917,"Mujer",2.55,NA,NA
3918,"Mujer",0.82,NA,NA
3919,"Mujer",3.12,2.2,NA
3920,"Hombre",2.5,2.23,0.41
3921,"Hombre",1.79,NA,NA
3922,"Mujer",2.28,NA,NA
3923,"Hombre",0.58,1.05,0.58
3924,"Mujer",2.5,1.29,NA
3925,"Mujer",1.41,NA,NA
3926,"Mujer",2.14,NA,NA
3927,"Hombre",0.76,0.26,NA
3929,"Hombre",1.79,1.11,NA
3930,"Hombre",1.02,0.35,NA
3932,"Mujer",2.62,NA,NA
3942,"Hombre",0.88,NA,NA
3944,"Hombre",1.58,0.2,0.2
3945,"Mujer",2.2,NA,NA
3946,"Mujer",1.14,NA,NA
3947,"Hombre",1.47,0.52,0.35
3948,"Mujer",1.41,0.23,0.38
3949,"Hombre",1.44,1.76,1.18
3950,"Mujer",1.23,1.17,NA
3951,"Mujer",1.82,NA,NA
3952,"Mujer",2.44,NA,NA
3954,"Mujer",1.94,1.2,NA
3955,"Hombre",2.41,NA,NA
3964,"Mujer",2.27,NA,NA
3965,"Hombre",1.79,0.23,NA
3966,"Hombre",1.88,NA,NA
3972,"Hombre",1.85,0.64,1.32
3973,"Mujer",2.21,NA,NA
3986,"Hombre",1.97,1.94,NA
3987,"Mujer",2.51,NA,NA
3988,"Mujer",2.05,NA,NA
3989,"Mujer",1.29,1,0.82
3990,"Mujer",2.05,NA,NA
3991,"Mujer",2.23,NA,NA
3992,"Mujer",1.76,NA,NA
3993,"Hombre",1.05,NA,NA
3994,"Hombre",1.79,NA,NA
3995,"Mujer",1.02,0.73,0.47
3996,"Mujer",2.76,1.58,NA
3997,"Mujer",1.67,0.55,NA
4010,"Hombre",2.85,NA,NA
4011,"Mujer",0.23,0.84,NA
4012,"Mujer",1.9,NA,NA
4013,"Hombre",1.23,0.52,NA
4014,"Hombre",1.97,NA,NA
4015,"Mujer",1.5,NA,NA
4016,"Mujer",3.69,NA,NA
4017,"Mujer",0.5,NA,NA
4022,"Mujer",2.18,NA,NA
4023,"Mujer",2.17,NA,NA
4024,"Mujer",1.58,NA,NA
4025,"Hombre",2.88,NA,NA
4030,"Hombre",2.52,NA,NA
4032,"Mujer",2.2,NA,NA
4033,"Hombre",1.73,NA,NA
4034,"Mujer",2.23,NA,NA
4079,"Hombre",1.97,NA,NA
4089,"Hombre",1.2,0.67,0.91
4090,"Hombre",2,NA,NA
4092,"Mujer",1.91,NA,NA
4093,"Hombre",0.81,NA,NA
4095,"Mujer",1.31,NA,NA
4096,"Mujer",0.38,NA,NA
4101,"Mujer",1.97,NA,NA
4104,"Mujer",0.38,NA,NA
4105,"Mujer",2.11,0.76,0.85
4106,"Mujer",3.2,NA,NA
4107,"Mujer",0.02,NA,NA
4109,"Mujer",2.56,NA,NA
4110,"Mujer",2.02,NA,NA
4111,"Mujer",2.3,NA,NA
4114,"Hombre",2.02,NA,NA
4147,"Mujer",2.05,NA,NA
4148,"Mujer",1.7,NA,NA
4149,"Hombre",1.61,NA,NA
4150,"Hombre",0.73,NA,NA
4151,"Hombre",2.5,1.64,NA
4152,"Mujer",2.18,1.75,1.91
4153,"Mujer",2.46,1.08,1.91
4154,"Mujer",1.5,0.91,NA
4155,"Mujer",1.73,0.94,NA
4156,"Hombre",1.44,NA,NA
4157,"Hombre",1.64,0.32,0.52
4158,"Mujer",2.02,2.44,NA
4159,"Mujer",1.2,0.17,0.2
4160,"Hombre",0.38,0.02,NA
4161,"Mujer",1.58,1.54,1.76
4162,"Mujer",1.67,0.5,NA
4163,"Mujer",1,0.48,NA
4164,"Mujer",2.58,1.35,NA
4165,"Mujer",2.82,2.61,3.02
4166,"Mujer",2.29,2.05,NA
4167,"Mujer",1.14,NA,NA
4168,"Mujer",1.64,0.76,NA
4171,"Mujer",1.82,0.08,NA
4172,"Mujer",3.32,2.91,3.02
4193,"Hombre",3.32,NA,NA
4194,"Hombre",1.85,1,1.5
4195,"Hombre",2.29,NA,NA
4196,"Mujer",1.47,0.47,1.58
4197,"Hombre",2.08,0.7,0.67
4198,"Hombre",2.2,NA,NA
4199,"Mujer",1.06,1.45,NA
4216,"Mujer",0.97,0.14,0.02
4218,"Hombre",2,NA,NA
4219,"Mujer",1.67,0.38,NA
4220,"Mujer",2.94,NA,NA
4221,"Mujer",1.55,NA,NA
4222,"Hombre",0.88,0.26,NA
4223,"Mujer",1.35,2.32,NA
4224,"Mujer",0.61,0.2,0.17
4225,"Hombre",1,NA,NA
4226,"Mujer",1.52,2.72,0.52
4234,"Hombre",1,NA,NA
4235,"Hombre",1.76,0.41,0.88
4236,"Mujer",2.52,NA,NA
4237,"Mujer",2,0.88,1.44
4238,"Mujer",2.63,NA,NA
4239,"Mujer",0.73,0.85,NA
4240,"Hombre",1.58,0.23,1.66
4241,"Mujer",0.58,NA,NA
4245,"Mujer",1.67,NA,NA
4247,"Mujer",1.47,NA,NA
4249,"Mujer",1.81,NA,NA
4256,"Hombre",1.91,NA,NA
4257,"Hombre",1.06,NA,NA
4259,"Hombre",1.47,1.23,0.94
4262,"Hombre",2.52,NA,NA
4263,"Mujer",1.85,0.2,NA
4264,"Hombre",3.44,NA,NA
4265,"Mujer",1.55,1.32,1.19
4266,"Mujer",2.29,2.7,NA
4267,"Mujer",1.76,NA,NA
4268,"Hombre",1.9,NA,NA
4269,"Hombre",2.52,2.55,NA
4271,"Mujer",2.52,NA,NA
4274,"Mujer",2.82,0.17,NA
4281,"Mujer",2.02,NA,NA
4284,"Mujer",1.29,NA,NA
4285,"Hombre",1.26,NA,NA
4287,"Mujer",0.94,NA,NA
4291,"Mujer",2,1.13,0.53
4292,"Mujer",0.73,NA,NA
4294,"Hombre",2.26,0.79,NA
4295,"Mujer",2.23,NA,NA
4297,"Hombre",2.35,NA,NA
4298,"Mujer",0.55,0.38,NA
4301,"Mujer",1.85,NA,NA
4302,"Hombre",0.67,NA,NA
4305,"Hombre",1.85,1,NA
4306,"Hombre",1.23,0.2,NA
4308,"Mujer",2.35,NA,NA
4309,"Hombre",1.35,NA,NA
4310,"Mujer",1.94,NA,NA
4311,"Hombre",1.55,NA,NA
4312,"Mujer",1.29,NA,NA
4313,"Hombre",2.17,NA,NA
4314,"Mujer",1.91,NA,NA
4333,"Mujer",2.88,NA,NA
4334,"Mujer",2.36,NA,NA
4335,"Mujer",2.36,NA,NA
4336,"Mujer",2.2,NA,NA
4349,"Mujer",2.17,0.47,0.38
4351,"Hombre",0.52,NA,NA
4352,"Hombre",0.32,NA,NA
4353,"Mujer",1.52,0.55,NA
4354,"Hombre",2,0.94,0.08
4355,"Hombre",1.32,1.02,1.2
4356,"Mujer",2.05,NA,NA
4357,"Mujer",1.73,NA,NA
4358,"Hombre",1.94,NA,NA
4359,"Mujer",1.81,NA,NA
4360,"Hombre",0.9,0.64,NA
4361,"Hombre",1.58,0.67,NA
4363,"Mujer",2.29,1.87,0.91
4366,"Mujer",2.57,NA,NA
4370,"Mujer",1.58,NA,NA
4382,"Mujer",2.33,0.82,NA
4383,"Mujer",3.15,NA,NA
4384,"Mujer",2.29,NA,NA
4385,"Mujer",0.82,NA,NA
4386,"Mujer",1.93,NA,NA
4387,"Mujer",1.82,NA,NA
4388,"Mujer",1.96,NA,NA
4389,"Mujer",1.32,0.64,0.47
4391,"Mujer",1.02,NA,NA
4392,"Mujer",1.14,NA,NA
4393,"Mujer",2.32,NA,NA
4394,"Hombre",2.16,NA,NA
4396,"Mujer",2.42,1.7,NA
4397,"Mujer",1.14,NA,NA
4398,"Hombre",1.55,0.79,1.76
4404,"Mujer",1.17,NA,NA
4405,"Mujer",1,0.58,0.32
