Sample ID	ExpNum	TreatTemp	Meas_Temp	WetWeight(g)	buffer(ml)	MessVol(ul)	slopeLDH	slopeTDH	slopeCS	ActivityLDH	ActivityTDH	ActivityCS
Hf39U	1	32	18	0.033	0.33	10	0.0148	0.0454	0.0109	2.379421222	4.919614148	0.800881705
Hf39U	1	32	32	0.033	0.33	20	0.131	0.2295	0.0426	10.53054662	7.918006431	1.565025716
Hf39U	1	32	32	0.033	0.33	10	0.0696	0.115	0.0202	11.18971061	7.29903537	1.484202792
Hf3BU	1	18	18	0.06	0.6	20	0.0151	0.1049	0.021	1.213826367	7.218649518	0.77149155
Hf3BU	1	18	18	0.06	0.6	10	0.0068	0.0505	0.0105	1.093247588	7.025723473	0.77149155
Hf3BU	1	18	32	0.06	0.6	20	0.0976	0.2169	0.0382	7.845659164	9.590032154	1.403379868
Hf3BU	1	18	32	0.06	0.6	10	0.042	0.1089	0	6.752411576	10.75562701	0
Hf40U	1	32	18	0.189	1.89	20	0.0258	0.2024	0.0169	2.073954984	14.19614148	0.62086701
Hf40U	1	32	18	0.189	1.89	10	0.0125	0.1025	0	2.009646302	14.46945338	0
Hf40U	1	32	32	0.189	1.89	20	0.1224	0.3638	0.0325	9.839228296	19.40514469	1.193975018
Hf40U	1	32	32	0.189	1.89	10	0.0564	0.1788	0.0156	9.067524116	19.67845659	1.146216018
Hf5BU	1	18	18	0.082	0.82	20	0.0196	0.2533	0.0168	1.575562701	18.78617363	0.61719324
Hf5BU	1	18	18	0.082	0.82	10	0.0077	0.1213	0.0087	1.237942122	18.26366559	0.639235856
Hf5BU	1	18	32	0.082	0.82	20	0.0994	0.4428	0.0311	7.990353698	27.60450161	1.142542248
Hf5BU	1	18	32	0.082	0.82	10	0.0491	0.2116	0	7.893890675	26.12540193	0
Hf6BU	1	18	18	0.161	1.61	20	0.0251	0.1437	0.0137	2.017684887	9.533762058	0.503306392
Hf6BU	1	18	18	0.161	1.61	10	0.011	0.0759	0.0072	1.768488746	10.4340836	0.529022777
Hf6BU	1	18	32	0.161	1.61	20	0.095	0.2925	0.027	7.636655949	15.87620579	0.991917708
Hf6BU	1	18	32	0.161	1.61	10	0.0527	0.1624	0.0126	8.47266881	17.63665595	0.92578986
Hf8BU	1	18	18	0.137	1.37	20	0.0207	0.2121	0.0167	1.663987138	15.38585209	0.613519471
Hf8BU	1	18	18	0.137	1.37	10	0.0206	0.1134	0.0088	3.311897106	14.91961415	0.646583395
Hf8BU	1	18	32	0.137	1.37	20	0.1645	0.4343	0.0358	13.22347267	21.68810289	1.315209405
Hf8BU	1	18	32	0.137	1.37	10	0	0	0.0161	0	0	1.182953711
Hf9BU	1	18	18	0.143	1.43	20	0.0162	0.2204	0.0163	1.302250804	16.414791	0.598824394
Hf9BU	1	18	18	0.143	1.43	10	0.0083	0.1126	0.0084	1.334405145	16.76848875	0.61719324
Hf9BU	1	18	32	0.143	1.43	20	0.0649	0.4412	0.0335	5.217041801	30.24919614	1.230712711
Hf9BU	1	18	32	0.143	1.43	10	0.0422	0.1967	0.0154	6.784565916	24.8392283	1.13152094
