"Individuo"	"Sitio"	"Estacion"	"Sexo"	"Profundidad"	"Longitud_mm"
103	"Todos Santos"	"Verano"	"H"	"Superficie"	36.11
104	"Todos Santos"	"Verano"	"H"	"Superficie"	25.68
105	"Todos Santos"	"Verano"	"H"	"Superficie"	46.97
106	"Todos Santos"	"Verano"	"H"	"Superficie"	22.75
107	"Todos Santos"	"Verano"	"H"	"Superficie"	17.57
108	"Todos Santos"	"Verano"	"H"	"Superficie"	29.74
109	"Todos Santos"	"Verano"	"H"	"Superficie"	20.1
110	"Todos Santos"	"Verano"	"M"	"Fondo"	7.63
111	"Todos Santos"	"Verano"	"H"	"Fondo"	27.19
112	"Todos Santos"	"Verano"	"M"	"Fondo"	13.97
113	"Todos Santos"	"Verano"	"M"	"Fondo"	27.22
114	"Todos Santos"	"Verano"	"M"	"Fondo"	9.78
115	"Todos Santos"	"Verano"	"M"	"Fondo"	17.08
116	"Todos Santos"	"Verano"	"H"	"Fondo"	23.63
117	"Todos Santos"	"Verano"	"M"	"Fondo"	19.2
118	"Todos Santos"	"Verano"	"M"	"Fondo"	21.33
119	"Todos Santos"	"Verano"	"H"	"Fondo"	13.59
120	"Todos Santos"	"Verano"	"M"	"Fondo"	21.74
121	"Todos Santos"	"Invierno"	"H"	"Superficie"	16.74
122	"Todos Santos"	"Invierno"	"M"	"Superficie"	17.66
123	"Todos Santos"	"Invierno"	"H"	"Superficie"	23.88
124	"Todos Santos"	"Invierno"	"H"	"Superficie"	10.34
125	"Todos Santos"	"Invierno"	"H"	"Superficie"	13.32
126	"Todos Santos"	"Invierno"	"H"	"Superficie"	17.09
127	"Todos Santos"	"Invierno"	"H"	"Superficie"	18.58
128	"Todos Santos"	"Invierno"	"M"	"Superficie"	15.09
129	"Todos Santos"	"Invierno"	"H"	"Superficie"	16.13
130	"Todos Santos"	"Invierno"	"H"	"Superficie"	8.95
131	"Todos Santos"	"Invierno"	"M"	"Superficie"	33.39
132	"Todos Santos"	"Invierno"	"M"	"Superficie"	13.37
133	"Todos Santos"	"Invierno"	"H"	"Superficie"	21.23
134	"Todos Santos"	"Invierno"	"H"	"Fondo"	18.03
135	"Todos Santos"	"Invierno"	"M"	"Fondo"	17.7
136	"Todos Santos"	"Invierno"	"H"	"Fondo"	9.37
137	"Todos Santos"	"Invierno"	"H"	"Fondo"	15.61
138	"Todos Santos"	"Invierno"	"M"	"Fondo"	15.18
139	"Todos Santos"	"Invierno"	"H"	"Fondo"	16.12
140	"Todos Santos"	"Invierno"	"H"	"Fondo"	30.14
141	"Todos Santos"	"Invierno"	"H"	"Fondo"	6.2
142	"Todos Santos"	"Invierno"	"H"	"Fondo"	23.01
143	"Todos Santos"	"Invierno"	"H"	"Fondo"	19.09
144	"Todos Santos"	"Invierno"	"M"	"Fondo"	18.12
